KD,Direc,Sep 21-23,Sep 7-9,Nov 9-11,"Doesn't matter much, pick for me","I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
AD,Exec,Nov 2-4,Sep 21-23,Oct 12-14,Nov 16-18,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
MW,Exec,Oct 5-7,Oct 19-21,Oct 12-14,Nov 16-18,Sep 28-30,Nov 2-4,Oct 26-28,Nov 30 - Dec 2,Sep 21-23,Nov 9-11
DB,Direc,Oct 5-7,Oct 26-28,Sep 21-23,Sep 28-30,"I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
JH,Direc,Sep 21-23,Oct 19-21,Nov 30 - Dec 2,Oct 12-14,Nov 16-18,Nov 2-4,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
EY,Exec,Oct 26-28,Sep 7-9,Sep 21-23,Nov 16-18,Nov 9-11,Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
AH,Direc,Oct 5-7,Nov 16-18,Nov 2-4,Oct 12-14,Oct 26-28,Sep 21-23,Sep 28-30,Nov 9-11,Sep 14-16,Sep 7-9
TY,Direc,Nov 2-4,Oct 19-21,Sep 21-23,"Doesn't matter much, pick for me","I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
HH,Direc,Sep 21-23,Nov 16-18,Oct 26-28,"Doesn't matter much, pick for me","I have no idea, pick for me",Whichever,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
MI,Direc,Nov 2-4,Oct 26-28,Sep 21-23,Oct 5-7,Sep 28-30,Nov 16-18,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
AB,Direc,Oct 5-7,Sep 21-23,Nov 2-4,Oct 26-28,Sep 28-30,Oct 12-14,Sep 7-9,Nov 9-11,Nov 16-18,Sep 14-16
BW,Exec,Oct 5-7,Sep 14-16,Nov 9-11,Oct 26-28,Nov 30 - Dec 2,Sep 21-23,"I can't decide, pick for me",Will it really come to my eighth choice?,"Too many decisions, pick for me","Glad to be done with this survey, pick for me"
LB,Direc,Sep 21-23,Oct 26-28,Oct 5-7,Nov 2-4,Nov 9-11,Nov 16-18,Sep 7-9,Sep 14-16,Oct 12-14,Sep 28-30
